name,salary,area_name,published_at
Менеджер IT-проектов,85000.0,Москва,2022-12-29T07:01:39+0300
Системный администратор,100000.0,Москва,2022-12-28T22:38:09+0300
Специалист IT,51000.0,Владивосток,2022-12-29T08:25:54+0300
Менеджер IT-проектов,,Астана,2022-12-29T08:32:13+0300
Младший системный администратор,,Алматы,2022-12-29T07:08:50+0300
Специалист отдела IT,50000.0,Новосибирск,2022-12-29T07:57:39+0300
Директор по информационным технологиям (CIO / Chief Information Officer),120000.0,Екатеринбург,2022-12-29T07:39:43+0300
Системный администратор,55000.0,Новосибирск,2022-12-29T07:26:13+0300
IT-Специалист в Управление технической поддержки ServiceDesk (Сопровождение информационных систем),,Алматы,2022-12-29T06:36:15+0300
Руководитель IT-отдела / Team Lead,100000.0,Москва,2022-12-28T23:40:27+0300
Системный администратор,,Москва,2022-12-29T08:39:08+0300
Системный администратор,,Санкт-Петербург,2022-12-29T08:37:10+0300
Системный администратор,,Бишкек,2022-12-29T06:21:00+0300
Системный администратор,40000.0,Уфа,2022-12-29T06:39:37+0300
Системный администратор,29500.0,Тольятти,2022-12-29T08:32:11+0300
Системный администратор,55000.0,Барнаул,2022-12-29T05:12:55+0300
Специалист 1С,100000.0,Южно-Сахалинск,2022-12-29T06:45:55+0300
Специалист по информационной безопасности,,Самарканд,2022-12-29T08:06:59+0300
Сервисный инженер ИТС,35000.0,Кемерово,2022-12-29T07:56:01+0300
Программист-аналитик,190000.0,Ижевск,2022-12-29T07:21:16+0300
Руководитель проектного офиса 1С:ERP,90000.0,Чебоксары,2022-12-29T08:34:02+0300
Инженер-тестировщик (АСУ ТП),,Екатеринбург,2022-12-29T08:14:55+0300
Ведущий инженер-электроник в отдел информационных технологий,38500.0,Калуга,2022-12-29T08:28:20+0300
Администратор баз данных (DBA),,Санкт-Петербург,2022-12-28T22:52:38+0300
Консультант-аналитик 1C,,Ижевск,2022-12-29T07:21:16+0300
Senior QA engineer,,Новосибирск,2022-12-29T07:39:54+0300
Ведущий инженер связи,,Нижний Новгород,2022-12-29T08:21:47+0300
Специалист-аналитик IT- проектов,45000.0,Челябинск,2022-12-29T07:33:52+0300
Инженер технической поддержки (1 линия),,Новосибирск,2022-12-29T08:11:34+0300
"Руководитель отдела предпродажной поддержки (Pre sale, вычислительная техника и телеком решения)",180000.0,Москва,2022-12-29T08:18:12+0300
Пресейл инженер (Информационная безопасность),,Ташкент,2022-12-29T07:09:30+0300
IT Project manager,,Алматы,2022-12-29T06:39:03+0300
Системный администратор,40000.0,Новосибирск,2022-12-29T06:06:55+0300
Специалист отдела развития информационных систем,32500.0,Челябинск,2022-12-29T07:34:12+0300
Инженер отдела технической поддержки,45000.0,Красноярск,2022-12-29T07:10:38+0300
Аналитик качества и связи данных,,Алматы,2022-12-29T08:27:55+0300
Пишущий редактор в IT,,Омск,2022-12-29T05:51:49+0300
Ведущий системный администратор,100000.0,Новосибирск,2022-12-29T05:50:31+0300
Инженер по внедрению информационных систем,50000.0,Хабаровск,2022-12-29T07:08:42+0300
Интегратор Битрикс24 / Bitrix24,,Астана,2022-12-29T07:08:08+0300
Специалист по информационной безопасности,,Новосибирск,2022-12-29T05:38:52+0300
GR-специалист в сфере информационной безопасности,,Москва,2022-12-29T08:14:39+0300
Техник в Департамент производства и сервиса,,Алматы,2022-12-29T06:51:10+0300
"Инженер-консультант (Pre sale, линейка сетевого оборудования)",140000.0,Москва,2022-12-29T08:18:37+0300
Бизнес-аналитик,,Москва,2022-12-29T08:03:38+0300
Старший инженер в Отдел серверных операционных систем Microsoft,,Хабаровск,2022-12-29T06:53:38+0300
"Прикладной программист (парсинг сайтов, коррекция данных)",55000.0,Екатеринбург,2022-12-29T08:23:50+0300
Менеджер по проекту,,Астана,2022-12-29T06:50:27+0300
Системный администратор (Академгородок),,Новосибирск,2022-12-29T04:48:36+0300
Python developer,80000.0,Барнаул,2022-12-29T08:06:05+0300
Бизнес-аналитик,85000.0,Нижний Новгород,2022-12-29T06:09:31+0300
Ведущий инженер по внедрению,70000.0,Хабаровск,2022-12-29T07:08:42+0300
DevOps-инженер,,Новосибирск,2022-12-29T05:59:00+0300
Java-разработчик,,Алматы,2022-12-29T07:30:27+0300
Эксперт по анализу отчетности и дашбордов,,Алматы,2022-12-29T08:21:02+0300
Инженер по обслуживанию медицинской техники,,Шымкент,2022-12-29T08:02:37+0300
Senior Backend Developer (PHP),,Армения,2022-12-29T08:36:46+0300
Senior Frontend Developer (VueJS),,Армения,2022-12-29T08:36:45+0300
Ведущий инженер по функциональному тестированию,210000.0,Москва,2022-12-29T07:16:09+0300
Младший аналитик,41500.0,Красноярск,2022-12-29T04:41:14+0300
Младший программист / стажёр (Junior) С / Linux,60000.0,Москва,2022-12-29T08:18:37+0300
Разработчик python (Senior/Lead),,Санкт-Петербург,2022-12-29T08:11:42+0300
Middle Web-Дизайнер,,Новосибирск,2022-12-29T07:24:04+0300
Ведущий бизнес-аналитик,,Москва,2022-12-29T07:57:27+0300
Программист (Junior) С / Linux,60000.0,Рязань,2022-12-29T08:18:37+0300
Программист 1С,,Ижевск,2022-12-29T07:21:16+0300
Lead UX/UI designer (удаленная работа только в РФ),,Санкт-Петербург,2022-12-29T08:13:00+0300
PHP-разработчик Yii2 (middle backend php developer),150000.0,Новосибирск,2022-12-29T08:06:09+0300
Ведущий инженер центра мониторинга и управления информационной безопасностью,80000.0,Хабаровск,2022-12-29T07:08:42+0300
Консультант 1C,,Ижевск,2022-12-29T07:21:15+0300
"Продакт-менеджер (Екатеринбург, Санкт-Петербург, Москва)",150000.0,Екатеринбург,2022-12-29T08:19:19+0300
Бизнес-аналитик,,Новосибирск,2022-12-29T04:48:36+0300
Ведущий программист (Senior) С / Linux,180000.0,Москва,2022-12-29T08:18:38+0300
Бизнес-аналитик,,Москва,2022-12-29T05:50:59+0300
Middle java developer,,Алматы,2022-12-29T06:39:10+0300
Руководитель проекта,,Алматы,2022-12-29T05:48:56+0300
Senior Frontend developer react (удаленная работа только в РФ),,Санкт-Петербург,2022-12-29T08:04:43+0300
Product manager / Продакт менеджер,200000.0,Москва,2022-12-29T01:43:58+0300
Специалист 1С,,Ижевск,2022-12-29T07:21:16+0300
Администратор баз данных,,Ульяновск,2022-12-28T22:50:19+0300
Менеджер проекта,,Москва,2022-12-29T02:07:12+0300
Администратор баз данных,,Казань,2022-12-28T22:50:19+0300
Руководитель отдела/направления ИБ,,Москва,2022-12-29T00:05:53+0300
Flutter Middle Мобильный разработчик,,Алматы,2022-12-29T08:28:01+0300
Консультант 1C (аналитик),150000.0,Москва,2022-12-28T22:44:32+0300
